Country,Species,Year,TLW
BE,ANF,2006,3579.0
BE,ANF,2007,4091.0
BE,ANF,2008,2894.0
BE,ANF,2009,2560.0
BE,ANF,2010,3093.0
BE,ANF,2011,3836.0
BE,ANF,2012,5149.0
BE,ANF,2013,4900.0
BE,ANF,2014,2979.0
BE,BIB,2006,1417.0
BE,BIB,2007,1722.0
BE,BIB,2008,1734.0
BE,BIB,2009,1274.0
BE,BIB,2010,1239.0
BE,BIB,2011,1215.0
BE,BIB,2012,955.0
BE,BIB,2013,899.0
BE,BIB,2014,1344.0
BE,BLL,2006,1171.0
BE,BLL,2007,1258.0
BE,BLL,2008,1079.0
BE,BLL,2009,1006.0
BE,BLL,2010,1051.0
BE,BLL,2011,1022.0
BE,BLL,2012,954.0
BE,BLL,2013,946.0
BE,BLL,2014,928.0
BE,BRB,2006,0.0
BE,BRB,2007,0.0
BE,BRB,2008,0.0
BE,BRB,2009,0.0
BE,BRB,2010,0.0
BE,BRB,2011,0.0
BE,BRB,2012,0.0
BE,BRB,2013,9.0
BE,BRB,2014,66.0
BE,BSS,2006,633.0
BE,BSS,2007,537.0
BE,BSS,2008,562.0
BE,BSS,2009,523.0
BE,BSS,2010,647.0
BE,BSS,2011,459.0
BE,BSS,2012,464.0
BE,BSS,2013,437.0
BE,BSS,2014,443.0
BE,CAA,2006,201.0
BE,CAA,2007,222.0
BE,CAA,2008,210.0
BE,CAA,2009,156.0
BE,CAA,2010,102.0
BE,CAA,2011,99.0
BE,CAA,2012,111.0
BE,CAA,2013,99.0
BE,CAA,2014,231.0
BE,CAR,2006,0.0
BE,CAR,2007,0.0
BE,CAR,2008,0.0
BE,CAR,2009,0.0
BE,CAR,2010,0.0
BE,CAR,2011,0.0
BE,CAR,2012,0.0
BE,CAR,2013,0.0
BE,CAR,2014,0.0
BE,CLU,2006,0.0
BE,CLU,2007,0.0
BE,CLU,2008,0.0
BE,CLU,2009,0.0
BE,CLU,2010,0.0
BE,CLU,2011,0.0
BE,CLU,2012,0.0
BE,CLU,2013,0.0
BE,CLU,2014,0.0
BE,CLX,2006,0.0
BE,CLX,2007,0.0
BE,CLX,2008,0.0
BE,CLX,2009,0.0
BE,CLX,2010,0.0
BE,CLX,2011,0.0
BE,CLX,2012,0.0
BE,CLX,2013,0.0
BE,CLX,2014,6.0
BE,CNZ,2006,2599.0
BE,CNZ,2007,1910.0
BE,CNZ,2008,3072.0
BE,CNZ,2009,4756.0
BE,CNZ,2010,0.0
BE,CNZ,2011,0.0
BE,CNZ,2012,0.0
BE,CNZ,2013,0.0
BE,CNZ,2014,0.0
BE,COC,2006,0.0
BE,COC,2007,0.0
BE,COC,2008,0.0
BE,COC,2009,0.0
BE,COC,2010,0.0
BE,COC,2011,0.0
BE,COC,2012,0.0
BE,COC,2013,0.0
BE,COC,2014,0.0
BE,COD,2006,4653.0
BE,COD,2007,3803.0
BE,COD,2008,3421.0
BE,COD,2009,3261.0
BE,COD,2010,2391.0
BE,COD,2011,2605.0
BE,COD,2012,3644.0
BE,COD,2013,4029.0
BE,COD,2014,4440.0
BE,COE,2006,173.0
BE,COE,2007,242.0
BE,COE,2008,194.0
BE,COE,2009,93.0
BE,COE,2010,80.0
BE,COE,2011,92.0
BE,COE,2012,113.0
BE,COE,2013,81.0
BE,COE,2014,121.0
BE,CRE,2006,336.0
BE,CRE,2007,389.0
BE,CRE,2008,346.0
BE,CRE,2009,136.0
BE,CRE,2010,286.0
BE,CRE,2011,314.0
BE,CRE,2012,817.0
BE,CRE,2013,813.0
BE,CRE,2014,816.0
BE,CRU,2006,7.0
BE,CRU,2007,5.0
BE,CRU,2008,2.0
BE,CRU,2009,0.0
BE,CRU,2010,3.0
BE,CRU,2011,9.0
BE,CRU,2012,7.0
BE,CRU,2013,12.0
BE,CRU,2014,8.0
BE,CSH,2006,0.0
BE,CSH,2007,0.0
BE,CSH,2008,0.0
BE,CSH,2009,0.0
BE,CSH,2010,6235.0
BE,CSH,2011,2307.0
BE,CSH,2012,2640.0
BE,CSH,2013,3679.0
BE,CSH,2014,3535.0
BE,CTC,2006,2189.0
BE,CTC,2007,4184.0
BE,CTC,2008,2615.0
BE,CTC,2009,960.0
BE,CTC,2010,1361.0
BE,CTC,2011,1176.0
BE,CTC,2012,2509.0
BE,CTC,2013,1300.0
BE,CTC,2014,1120.0
BE,DAB,2006,1813.0
BE,DAB,2007,1874.0
BE,DAB,2008,1679.0
BE,DAB,2009,1710.0
BE,DAB,2010,1660.0
BE,DAB,2011,1408.0
BE,DAB,2012,1877.0
BE,DAB,2013,1989.0
BE,DAB,2014,1443.0
BE,DGH,2006,0.0
BE,DGH,2007,0.0
BE,DGH,2008,0.0
BE,DGH,2009,0.0
BE,DGH,2010,0.0
BE,DGH,2011,0.0
BE,DGH,2012,0.0
BE,DGH,2013,0.0
BE,DGH,2014,0.0
BE,DGS,2006,51.0
BE,DGS,2007,30.0
BE,DGS,2008,33.0
BE,DGS,2009,17.0
BE,DGS,2010,2.0
BE,DGS,2011,9.0
BE,DGS,2012,0.0
BE,DGS,2013,0.0
BE,DGS,2014,0.0
BE,DGZ,2006,1509.0
BE,DGZ,2007,1434.0
BE,DGZ,2008,1562.0
BE,DGZ,2009,0.0
BE,DGZ,2010,0.0
BE,DGZ,2011,0.0
BE,DGZ,2012,0.0
BE,DGZ,2013,0.0
BE,DGZ,2014,0.0
BE,DIA,2006,0.0
BE,DIA,2007,0.0
BE,DIA,2008,0.0
BE,DIA,2009,0.0
BE,DIA,2010,0.0
BE,DIA,2011,0.0
BE,DIA,2012,0.0
BE,DIA,2013,0.0
BE,DIA,2014,0.0
BE,DPX,2006,1100.0
BE,DPX,2007,1029.0
BE,DPX,2008,818.0
BE,DPX,2009,827.0
BE,DPX,2010,762.0
BE,DPX,2011,677.0
BE,DPX,2012,644.0
BE,DPX,2013,284.0
BE,DPX,2014,32.0
BE,ELE,2006,0.0
BE,ELE,2007,0.0
BE,ELE,2008,0.0
BE,ELE,2009,0.0
BE,ELE,2010,0.0
BE,ELE,2011,0.0
BE,ELE,2012,0.0
BE,ELE,2013,0.0
BE,ELE,2014,0.0
BE,FIN,2006,0.0
BE,FIN,2007,0.0
BE,FIN,2008,0.0
BE,FIN,2009,0.0
BE,FIN,2010,0.0
BE,FIN,2011,0.0
BE,FIN,2012,0.0
BE,FIN,2013,0.0
BE,FIN,2014,0.0
BE,FLE,2006,681.0
BE,FLE,2007,1029.0
BE,FLE,2008,1038.0
BE,FLE,2009,974.0
BE,FLE,2010,896.0
BE,FLE,2011,965.0
BE,FLE,2012,1202.0
BE,FLE,2013,1160.0
BE,FLE,2014,1138.0
BE,GAD,2006,0.0
BE,GAD,2007,0.0
BE,GAD,2008,0.0
BE,GAD,2009,0.0
BE,GAD,2010,0.0
BE,GAD,2011,0.0
BE,GAD,2012,0.0
BE,GAD,2013,0.0
BE,GAD,2014,0.0
BE,GUG,2006,76.0
BE,GUG,2007,63.0
BE,GUG,2008,61.0
BE,GUG,2009,89.0
BE,GUG,2010,127.0
BE,GUG,2011,191.0
BE,GUG,2012,309.0
BE,GUG,2013,292.0
BE,GUG,2014,196.0
BE,GUR,2006,939.0
BE,GUR,2007,983.0
BE,GUR,2008,1058.0
BE,GUR,2009,681.0
BE,GUR,2010,712.0
BE,GUR,2011,918.0
BE,GUR,2012,917.0
BE,GUR,2013,862.0
BE,GUR,2014,789.0
BE,GUU,2006,0.0
BE,GUU,2007,0.0
BE,GUU,2008,0.0
BE,GUU,2009,1309.0
BE,GUU,2010,1345.0
BE,GUU,2011,1315.0
BE,GUU,2012,2012.0
BE,GUU,2013,1872.0
BE,GUU,2014,2191.0
BE,GUX,2006,1703.0
BE,GUX,2007,2065.0
BE,GUX,2008,1660.0
BE,GUX,2009,0.0
BE,GUX,2010,0.0
BE,GUX,2011,0.0
BE,GUX,2012,0.0
BE,GUX,2013,0.0
BE,GUX,2014,0.0
BE,HAD,2006,686.0
BE,HAD,2007,985.0
BE,HAD,2008,708.0
BE,HAD,2009,739.0
BE,HAD,2010,777.0
BE,HAD,2011,1005.0
BE,HAD,2012,980.0
BE,HAD,2013,776.0
BE,HAD,2014,616.0
BE,HAL,2006,6.0
BE,HAL,2007,15.0
BE,HAL,2008,21.0
BE,HAL,2009,18.0
BE,HAL,2010,12.0
BE,HAL,2011,3.0
BE,HAL,2012,0.0
BE,HAL,2013,3.0
BE,HAL,2014,3.0
BE,HER,2006,9.0
BE,HER,2007,3.0
BE,HER,2008,0.0
BE,HER,2009,0.0
BE,HER,2010,3.0
BE,HER,2011,11.0
BE,HER,2012,12.0
BE,HER,2013,66.0
BE,HER,2014,81.0
BE,HKE,2006,248.0
BE,HKE,2007,239.0
BE,HKE,2008,214.0
BE,HKE,2009,153.0
BE,HKE,2010,207.0
BE,HKE,2011,156.0
BE,HKE,2012,119.0
BE,HKE,2013,152.0
BE,HKE,2014,181.0
BE,HOM,2006,0.0
BE,HOM,2007,0.0
BE,HOM,2008,0.0
BE,HOM,2009,0.0
BE,HOM,2010,0.0
BE,HOM,2011,0.0
BE,HOM,2012,0.0
BE,HOM,2013,0.0
BE,HOM,2014,0.0
BE,INV,2006,0.0
BE,INV,2007,0.0
BE,INV,2008,0.0
BE,INV,2009,0.0
BE,INV,2010,0.0
BE,INV,2011,0.0
BE,INV,2012,0.0
BE,INV,2013,0.0
BE,INV,2014,0.0
BE,JAX,2006,10.0
BE,JAX,2007,16.0
BE,JAX,2008,9.0
BE,JAX,2009,15.0
BE,JAX,2010,67.0
BE,JAX,2011,87.0
BE,JAX,2012,145.0
BE,JAX,2013,195.0
BE,JAX,2014,222.0
BE,JOD,2006,0.0
BE,JOD,2007,0.0
BE,JOD,2008,0.0
BE,JOD,2009,0.0
BE,JOD,2010,0.0
BE,JOD,2011,0.0
BE,JOD,2012,0.0
BE,JOD,2013,52.0
BE,JOD,2014,100.0
BE,LBE,2006,6.0
BE,LBE,2007,7.0
BE,LBE,2008,12.0
BE,LBE,2009,29.0
BE,LBE,2010,33.0
BE,LBE,2011,7.0
BE,LBE,2012,5.0
BE,LBE,2013,5.0
BE,LBE,2014,9.0
BE,LEM,2006,2776.0
BE,LEM,2007,2664.0
BE,LEM,2008,2654.0
BE,LEM,2009,2037.0
BE,LEM,2010,1988.0
BE,LEM,2011,2463.0
BE,LEM,2012,2842.0
BE,LEM,2013,3267.0
BE,LEM,2014,3577.0
BE,LEZ,2006,308.0
BE,LEZ,2007,614.0
BE,LEZ,2008,514.0
BE,LEZ,2009,637.0
BE,LEZ,2010,834.0
BE,LEZ,2011,1016.0
BE,LEZ,2012,1839.0
BE,LEZ,2013,1618.0
BE,LEZ,2014,567.0
BE,LIN,2006,171.0
BE,LIN,2007,213.0
BE,LIN,2008,214.0
BE,LIN,2009,126.0
BE,LIN,2010,143.0
BE,LIN,2011,170.0
BE,LIN,2012,221.0
BE,LIN,2013,201.0
BE,LIN,2014,289.0
BE,MAC,2006,10.0
BE,MAC,2007,3.0
BE,MAC,2008,6.0
BE,MAC,2009,10.0
BE,MAC,2010,87.0
BE,MAC,2011,63.0
BE,MAC,2012,132.0
BE,MAC,2013,186.0
BE,MAC,2014,168.0
BE,MEB,2006,0.0
BE,MEB,2007,0.0
BE,MEB,2008,0.0
BE,MEB,2009,0.0
BE,MEB,2010,0.0
BE,MEB,2011,0.0
BE,MEB,2012,0.0
BE,MEB,2013,0.0
BE,MEB,2014,0.0
BE,MEG,2006,0.0
BE,MEG,2007,0.0
BE,MEG,2008,0.0
BE,MEG,2009,0.0
BE,MEG,2010,0.0
BE,MEG,2011,0.0
BE,MEG,2012,0.0
BE,MEG,2013,0.0
BE,MEG,2014,0.0
BE,MGC,2006,0.0
BE,MGC,2007,0.0
BE,MGC,2008,0.0
BE,MGC,2009,0.0
BE,MGC,2010,0.0
BE,MGC,2011,0.0
BE,MGC,2012,0.0
BE,MGC,2013,0.0
BE,MGC,2014,0.0
BE,MNZ,2006,0.0
BE,MNZ,2007,0.0
BE,MNZ,2008,0.0
BE,MNZ,2009,0.0
BE,MNZ,2010,0.0
BE,MNZ,2011,0.0
BE,MNZ,2012,0.0
BE,MNZ,2013,0.0
BE,MNZ,2014,0.0
BE,MOL,2006,0.0
BE,MOL,2007,0.0
BE,MOL,2008,0.0
BE,MOL,2009,0.0
BE,MOL,2010,0.0
BE,MOL,2011,0.0
BE,MOL,2012,0.0
BE,MOL,2013,0.0
BE,MOL,2014,0.0
BE,MUR,2006,134.0
BE,MUR,2007,166.0
BE,MUR,2008,125.0
BE,MUR,2009,99.0
BE,MUR,2010,248.0
BE,MUR,2011,313.0
BE,MUR,2012,228.0
BE,MUR,2013,185.0
BE,MUR,2014,250.0
BE,MUS,2006,0.0
BE,MUS,2007,0.0
BE,MUS,2008,0.0
BE,MUS,2009,0.0
BE,MUS,2010,0.0
BE,MUS,2011,0.0
BE,MUS,2012,0.0
BE,MUS,2013,0.0
BE,MUS,2014,0.0
BE,MZZ,2006,0.0
BE,MZZ,2007,0.0
BE,MZZ,2008,0.0
BE,MZZ,2009,0.0
BE,MZZ,2010,0.0
BE,MZZ,2011,0.0
BE,MZZ,2012,0.0
BE,MZZ,2013,0.0
BE,MZZ,2014,0.0
BE,NEP,2006,685.0
BE,NEP,2007,645.0
BE,NEP,2008,636.0
BE,NEP,2009,845.0
BE,NEP,2010,400.0
BE,NEP,2011,917.0
BE,NEP,2012,1144.0
BE,NEP,2013,950.0
BE,NEP,2014,1507.0
BE,OCZ,2006,105.0
BE,OCZ,2007,145.0
BE,OCZ,2008,93.0
BE,OCZ,2009,133.0
BE,OCZ,2010,207.0
BE,OCZ,2011,279.0
BE,OCZ,2012,383.0
BE,OCZ,2013,335.0
BE,OCZ,2014,137.0
BE,OYF,2006,0.0
BE,OYF,2007,0.0
BE,OYF,2008,0.0
BE,OYF,2009,0.0
BE,OYF,2010,0.0
BE,OYF,2011,0.0
BE,OYF,2012,0.0
BE,OYF,2013,0.0
BE,OYF,2014,0.0
BE,PEE,2006,0.0
BE,PEE,2007,0.0
BE,PEE,2008,0.0
BE,PEE,2009,0.0
BE,PEE,2010,0.0
BE,PEE,2011,0.0
BE,PEE,2012,0.0
BE,PEE,2013,0.0
BE,PEE,2014,0.0
BE,PIL,2006,0.0
BE,PIL,2007,0.0
BE,PIL,2008,0.0
BE,PIL,2009,0.0
BE,PIL,2010,0.0
BE,PIL,2011,0.0
BE,PIL,2012,0.0
BE,PIL,2013,0.0
BE,PIL,2014,6.0
BE,PLE,2006,15417.0
BE,PLE,2007,17198.0
BE,PLE,2008,15659.0
