Species,scientific_name,name,family
LAU,Petromyzon marinus,Sea lamprey,Petromyzontidae
LAR,Lampetra fluviatilis,River lamprey,Petromyzontidae
IDK,Lampetra aepyptera,Least brook lamprey,Petromyzontidae
IDL,Lampetra ayresii,Western American river lamprey,Petromyzontidae
IDN,Lampetra planeri,European brook lamprey,Petromyzontidae
IDO,Lampetra richardsoni,Western brook lamprey,Petromyzontidae
IKQ,Lampetra lanceolata,Turkish brook lamprey,Petromyzontidae
IKR,Lampetra pacifica,Pacific brook lamprey,Petromyzontidae
LAY,Ichthyomyzon unicuspis,Silver lamprey,Petromyzontidae
IDE,Ichthyomyzon bdellium,Ohio lamprey,Petromyzontidae
IDG,Ichthyomyzon castaneus,Chestnut lamprey,Petromyzontidae
IDH,Ichthyomyzon fossor,Northern brook lamprey,Petromyzontidae
IDI,Ichthyomyzon gagei,Southern brook lamprey,Petromyzontidae
IDJ,Ichthyomyzon greeleyi,Mountain brook lamprey,Petromyzontidae
LAF,Eudontomyzon mariae,Ukrainian brook lamprey,Petromyzontidae
ICJ,Eudontomyzon danfordi,Carpathian lamprey,Petromyzontidae
IKG,Eudontomyzon graecus,,Petromyzontidae
IKJ,Eudontomyzon hellenicus,Greek brook lamprey,Petromyzontidae
IKL,Eudontomyzon morii,Korean lamprey,Petromyzontidae
LAW,Caspiomyzon wagneri,Caspian lamprey,Petromyzontidae
LSZ,Lethenteron camtschaticum,Arctic lamprey,Petromyzontidae
IDQ,Lethenteron kessleri,Siberian lamprey,Petromyzontidae
IDT,Lethenteron ninae,Western Transcaucasian lamprey,Petromyzontidae
IDU,Lethenteron reissneri,Far Eastern brook lamprey,Petromyzontidae
IDV,Lethenteron zanandreai,Lombardy brook lamprey,Petromyzontidae
IKT,Lethenteron alaskense,Alaskan brook lamprey,Petromyzontidae
IKU,Lethenteron appendix,American brook lamprey,Petromyzontidae
LAO,Entosphenus tridentatus,Pacific lamprey,Petromyzontidae
IJX,Entosphenus folletti,Northern California lamprey,Petromyzontidae
IJY,Entosphenus hubbsi,Kern brook lamprey,Petromyzontidae
IJZ,Entosphenus lethophagus,PitñKlamath brook lamprey,Petromyzontidae
IKD,Entosphenus macrostomus,Vancouver lamprey,Petromyzontidae
IKE,Entosphenus minimus,Miller Lake lamprey,Petromyzontidae
IKF,Entosphenus similis,Klamath lamprey,Petromyzontidae
IKV,Tetrapleurodon geminis,Jacona lamprey,Petromyzontidae
IKW,Tetrapleurodon spadiceus,Chapala lamprey,Petromyzontidae
LAS,Petromyzontidae,Lampreys nei,Petromyzontidae
ICE,Mordacia lapicida,Chilean lamprey,Mordaciidae
ICF,Mordacia praecox,,Mordaciidae
LAK,Mordacia mordax,Australian lamprey,Mordaciidae
LAE,Geotria australis,Pouched lamprey,Geotriidae
MYP,Paramyxine atami,Brown hagfish,Myxinidae
MYG,Myxine glutinosa,Hagfish,Myxinidae
MYE,Nemamyxine elongata,,Myxinidae
MYB,Eptatretus burgeri,Inshore hagfish,Myxinidae
MYU,Eptatretus stoutii,Pacific hagfish,Myxinidae
MWC,Eptatretus cirrhatus,Broadgilled hagfish,Myxinidae
MYX,Myxinidae,Hagfishes nei,Myxinidae
HEF,Heterodontus francisci,Horn shark,Heterodontidae
HEG,Heterodontus galeatus,Crested bullhead shark,Heterodontidae
HEJ,Heterodontus japonicus,Japanese bullhead shark,Heterodontidae
HEM,Heterodontus mexicanus,Mexican hornshark,Heterodontidae
HEK,Heterodontus portusjacksoni,Port Jackson shark,Heterodontidae
HEQ,Heterodontus quoyi,Galapagos bullhead shark,Heterodontidae
HEA,Heterodontus ramalheira,Whitespotted bullhead shark,Heterodontidae
HEZ,Heterodontus zebra,Zebra bullhead shark,Heterodontidae
HDQ,Heterodontiformes,Bullhead sharks,
HXC,Chlamydoselachus anguineus,Frilled shark,Chlamydoselachidae
HWR,Chlamydoselachus africana,African frilled shark,Chlamydoselachidae
SBL,Hexanchus griseus,Bluntnose sixgill shark,Hexanchidae
HXN,Hexanchus nakamurai,Bigeyed sixgill shark,Hexanchidae
HXT,Heptranchias perlo,Sharpnose sevengill shark,Hexanchidae
NTC,Notorynchus cepedianus,Broadnose sevengill shark,Hexanchidae
HXW,Hexanchiformes,Frilled and cow sharks,
BSK,Cetorhinus maximus,Basking shark,Cetorhinidae
CCT,Carcharias taurus,Sand tiger shark,Odontaspididae
LOU,Carcharias tricuspidatus,Indian sand tiger,Odontaspididae
LOO,Odontaspis ferox,Smalltooth sand tiger,Odontaspididae
ODH,Odontaspis noronhai,Bigeye sand tiger shark,Odontaspididae
LMO,Mitsukurina owstoni,Goblin shark,Mitsukurinidae
PSK,Pseudocarcharias kamoharai,Crocodile shark,Pseudocarchariidae
LMP,Megachasma pelagios,Megamouth shark,Megachasmidae
ALV,Alopias vulpinus,Thresher,Alopiidae
PTH,Alopias pelagicus,Pelagic thresher,Alopiidae
BTH,Alopias superciliosus,Bigeye thresher,Alopiidae
THR,Alopias spp,Thresher sharks nei,Alopiidae
SMA,Isurus oxyrinchus,Shortfin mako,Lamnidae
LMA,Isurus paucus,Longfin mako,Lamnidae
MAK,Isurus spp,Mako sharks,Lamnidae
POR,Lamna nasus,Porbeagle,Lamnidae
LMD,Lamna ditropis,Salmon shark,Lamnidae
WSH,Carcharodon carcharias,Great white shark,Lamnidae
MSK,Lamnidae,"Mackerel sharks,porbeagles nei",Lamnidae
LMZ,Lamniformes,Mackerel sharks,
OSF,Stegostoma fasciatum,Zebra shark,Stegostomatidae
ORE,Eucrossorhinus dasypogon,Tasselled wobbegong,Orectolobidae
ORJ,Orectolobus japonicus,Japanese wobbegong,Orectolobidae
ORT,Orectolobus maculatus,Spotted wobbegong,Orectolobidae
ORO,Orectolobus ornatus,Ornate wobbegong,Orectolobidae
ORV,Orectolobus wardi,Northern wobbegong,Orectolobidae
