Species,name
LAU,Sea lamprey
LAR,River lamprey
IDK,Least brook lamprey
IDL,Western American river lamprey
IDN,European brook lamprey
IDO,Western brook lamprey
IKQ,Turkish brook lamprey
IKR,Pacific brook lamprey
LAY,Silver lamprey
IDE,Ohio lamprey
IDG,Chestnut lamprey
IDH,Northern brook lamprey
IDI,Southern brook lamprey
IDJ,Mountain brook lamprey
LAF,Ukrainian brook lamprey
ICJ,Carpathian lamprey
IKG,
IKJ,Greek brook lamprey
IKL,Korean lamprey
LAW,Caspian lamprey
LSZ,Arctic lamprey
IDQ,Siberian lamprey
IDT,Western Transcaucasian lamprey
IDU,Far Eastern brook lamprey
IDV,Lombardy brook lamprey
IKT,Alaskan brook lamprey
IKU,American brook lamprey
LAO,Pacific lamprey
IJX,Northern California lamprey
IJY,Kern brook lamprey
IJZ,PitñKlamath brook lamprey
IKD,Vancouver lamprey
IKE,Miller Lake lamprey
IKF,Klamath lamprey
IKV,Jacona lamprey
IKW,Chapala lamprey
LAS,Lampreys nei
ICE,Chilean lamprey
ICF,
LAK,Australian lamprey
LAE,Pouched lamprey
MYP,Brown hagfish
MYG,Hagfish
MYE,
MYB,Inshore hagfish
MYU,Pacific hagfish
MWC,Broadgilled hagfish
MYX,Hagfishes nei
HEF,Horn shark
HEG,Crested bullhead shark
HEJ,Japanese bullhead shark
HEM,Mexican hornshark
HEK,Port Jackson shark
HEQ,Galapagos bullhead shark
HEA,Whitespotted bullhead shark
HEZ,Zebra bullhead shark
HDQ,Bullhead sharks
HXC,Frilled shark
HWR,African frilled shark
SBL,Bluntnose sixgill shark
HXN,Bigeyed sixgill shark
HXT,Sharpnose sevengill shark
NTC,Broadnose sevengill shark
HXW,Frilled and cow sharks
BSK,Basking shark
CCT,Sand tiger shark
LOU,Indian sand tiger
LOO,Smalltooth sand tiger
ODH,Bigeye sand tiger shark
LMO,Goblin shark
PSK,Crocodile shark
LMP,Megamouth shark
ALV,Thresher
PTH,Pelagic thresher
BTH,Bigeye thresher
THR,Thresher sharks nei
SMA,Shortfin mako
LMA,Longfin mako
MAK,Mako sharks
POR,Porbeagle
LMD,Salmon shark
WSH,Great white shark
MSK,"Mackerel sharks,porbeagles nei"
LMZ,Mackerel sharks
OSF,Zebra shark
ORE,Tasselled wobbegong
ORJ,Japanese wobbegong
ORT,Spotted wobbegong
ORO,Ornate wobbegong
ORV,Northern wobbegong
ORS,Cobbler wobbegong
GNC,Nurse shark
ORX,Short-tail nurse shark
GNG,Nurse sharks nei
ORZ,Tawny nurse shark
ORF,Indonesia speckled carpetshark
ORK,Papuan epaulette shark
ORN,Epaulette shark
ORQ,Hooded carpetshark
ORW,Speckled carpetshark
ORA,Arabian carpetshark
ORP,Bluespotted bambooshark
ORR,Grey bambooshark
ORI,Slender bambooshark
ORH,Whitespotted bambooshark
ORB,Brownbanded bambooshark
KYL,Burmese bambooshark
YYL,Hasselt's bambooshark
OQX,Bamboosharks nei
RHN,Whale shark
OBW,Blind shark
OBH,Bluegray carpetshark
OPC,Barbelthroat carpetshark
OPF,Taiwan saddled carpetshark
OPJ,Saddle carpetshark
OPY,Collared carpetshark
OPE,Rusty carpetshark
OPV,Necklace carpetshark
OCX,Carpet sharks
GAA,Roughtail catshark
GAB,Australian sawtail catshark
GAE,Gecko catshark
SHO,Blackmouth catshark
GAO,
GAM,Mouse catshark
GAN,Broadfin sawtail catshark
GAP,Peppered catshark
GAQ,African sawtail catshark
GAI,Blacktip sawtail catshark
GAH,Dwarf sawtail catshark
GHA,Atlantic sawtail catshark
GAU,Crest-tail catsharks nei
SYC,Small-spotted catshark
SYT,Nursehound
SYB,Polkadot catshark
SYA,Boa catshark
SYP,Yellowspotted catshark
SYE,West African catshark
SYG,Brownspotted catshark
SYH,Freckled catshark
SYU,Whitesaddled catshark
SYM,Blotched catshark
SYF,Chain catshark
SYK,
SYZ,Cloudy catshark
SYI,Dwarf catshark
SCL,"Catsharks, nursehounds nei"
SHV,Narrowmouthed catshark
SHY,Redspotted catshark
SHU,Narrowtail catshark
SHN,Slender catshark
ASY,Australian spotted catshark
ASV,Gulf catshark
AXM,
ATM,Australian marbled catshark
ATY,Coral catshark
HPE,Puffadder shyshark
HPF,Brown shyshark
HPP,Dark shyshark
HOP,African spotted catshark
HOR,Izak catshark
PAH,Campeche catshark
PAE,McMillan's cat shark
PAV,Blackgill catshark
PAW,Salamander shark
PAY,Filetail catshark
CSA,
CSU,Atlantic ghost catshark
CSN,Brown catshark
CSQ,Hoary catshark
CSG,
CSW,Longfin catshark
APD,Smallbelly catshark
APV,Broadnose catshark
CSJ,Japanese catshark
CSZ,Longnose catshark
APQ,Iceland catshark
CSF,Longhead catshark
CSX,Flathead catshark
APM,
APF,Madeira catshark
APA,Ghost catshark
APX,Smalleye catshark
APY,
APW,Largenose catshark
APK,Smallfin catshark
APZ,Spatulasnout catshark
APP,Deep-water catshark
CSV,Broadgill catshark
APC,Saldanha catshark
APJ,Pale catshark
ASI,South China catshark
ASO,Spongehead catshark
ASE,Panama ghost catshark
ASW,Borneo catshark
API,Deep-water catsharks
AUK,Kanakorum catshark
